id,company_id,auto_approve,enable_notifications,required_documents,created_at,updated_at
2,2,True,True,"{'outros': True, 'boletos_pagos': True, 'notas_fiscais': True, 'contrato_social': True, 'estatuto_social': True, 'inscricao_municipal': True}",2025-04-02 15:09:30.598720,2025-04-11 00:46:33.996285
3,60,True,True,"{'outros': True, 'boletos_pagos': True, 'notas_fiscais': True, 'contrato_social': True, 'estatuto_social': True, 'inscricao_municipal': True}",2025-04-18 01:05:59.674076,2025-04-18 01:06:30.123871
1,1,False,False,"{'outros': True, 'boletos_pagos': True, 'notas_fiscais': True, 'contrato_social': True, 'estatuto_social': True, 'inscricao_municipal': True}",2025-03-20 19:23:32.142959,2025-04-23 17:23:48.242611
